S 152ce4,4 miss eviction 
L 1113e0,4 miss eviction 
S 152ce8,4 hit 
L 1113e4,4 hit 
S 152cec,4 hit 
L 1113e8,4 hit 
S 152cf0,4 hit 
L 1113ec,4 hit 
L 1113f0,4 hit 
L 1113f4,4 hit 
L 1113f8,4 hit 
L 1117ac,4 miss eviction 
S 152cf4,4 hit 
L 1117b0,4 hit 
S 152cf8,4 hit 
L 1117b4,4 hit 
S 152cfc,4 hit 
L 1117b8,4 hit 
S 152d00,4 miss eviction 
S 153114,4 miss eviction 
S 153118,4 hit 
S 15311c,4 hit 
S 153120,4 miss eviction 
L 1117bc,4 hit 
S 153124,4 hit 
L 1117c0,4 miss eviction 
S 153128,4 hit 
L 1117c4,4 hit 
S 15312c,4 hit 
L 1117c8,4 hit 
S 153130,4 hit 
L 152df4,4 miss eviction 
L 152df8,4 hit 
L 152dfc,4 hit 
L 152f04,4 miss eviction 
L 152f08,4 hit 
L 153014,4 hit 
L 152efc,4 miss eviction 
S 152df4,4 hit 
L 153008,4 hit 
S 152df8,4 hit 
L 153114,4 hit 
S 152dfc,4 hit 
L 15300c,4 hit 
S 152f04,4 hit 
L 153118,4 hit 
S 152f08,4 hit 
L 15311c,4 hit 
S 153014,4 hit 
S 152efc,4 hit 
S 153008,4 hit 
S 153114,4 hit 
S 15300c,4 hit 
S 153118,4 hit 
S 15311c,4 hit 
L 152e04,4 miss eviction 
L 152e08,4 hit 
L 152e0c,4 hit 
L 152f14,4 hit 
L 152f18,4 hit 
L 153024,4 hit 
L 152f0c,4 hit 
S 152e04,4 hit 
L 153018,4 hit 
S 152e08,4 hit 
L 153124,4 hit 
S 152e0c,4 hit 
L 15301c,4 hit 
S 152f14,4 hit 
L 153128,4 hit 
S 152f18,4 hit 
L 15312c,4 hit 
S 153024,4 hit 
S 152f0c,4 hit 
S 153018,4 hit 
S 153124,4 hit 
S 15301c,4 hit 
S 153128,4 hit 
S 15312c,4 hit 
L 1529c4,4 miss eviction 
L 1529c8,4 hit 
L 1529cc,4 hit 
L 152ad4,4 miss eviction 
L 152ad8,4 hit 
L 152be4,4 miss eviction 
L 152acc,4 hit 
S 1529c4,4 hit 
L 152bd8,4 miss eviction 
S 1529c8,4 hit 
L 152ce4,4 hit 
S 1529cc,4 hit 
L 152bdc,4 hit 
S 152ad4,4 hit 
L 152ce8,4 hit 
S 152ad8,4 hit 
L 152cec,4 hit 
S 152be4,4 hit 
S 152acc,4 hit 
S 152bd8,4 hit 
S 152ce4,4 hit 
S 152bdc,4 hit 
S 152ce8,4 hit 
S 152cec,4 hit 
L 1529d4,4 hit 
L 1529d8,4 hit 
L 1529dc,4 hit 
L 152ae4,4 miss eviction 
L 152ae8,4 hit 
L 152bf4,4 hit 
L 152adc,4 hit 
S 1529d4,4 hit 
L 152be8,4 hit 
S 1529d8,4 hit 
L 152cf4,4 hit 
S 1529dc,4 hit 
L 152bec,4 hit 
S 152ae4,4 hit 
L 152cf8,4 hit 
S 152ae8,4 hit 
L 152cfc,4 hit 
S 152bf4,4 hit 
S 152adc,4 hit 
S 152be8,4 hit 
S 152cf4,4 hit 
S 152bec,4 hit 
S 152cf8,4 hit 
S 152cfc,4 hit 
L 111120,4 miss eviction 
S 153220,4 miss eviction 
L 111124,4 hit 
S 153224,4 hit 
L 111128,4 hit 
S 153228,4 hit 
L 11112c,4 hit 
S 15322c,4 hit 
L 111130,4 hit 
L 111134,4 hit 
L 111138,4 hit 
L 11113c,4 hit 
L 1114f0,4 miss eviction 
S 153230,4 hit 
L 1114f4,4 hit 
S 153234,4 hit 
L 1114f8,4 hit 
S 153238,4 hit 
L 1114fc,4 hit 
S 15323c,4 hit 
S 153650,4 miss eviction 
S 153654,4 hit 
S 153658,4 hit 
S 15365c,4 hit 
L 111500,4 miss eviction 
S 153660,4 miss eviction 
L 111504,4 hit 
S 153664,4 hit 
L 111508,4 hit 
S 153668,4 hit 
L 11150c,4 hit 
S 15366c,4 hit 
L 111214,4 miss eviction 
S 15332c,4 miss eviction 
L 111218,4 hit 
S 153330,4 hit 
L 11121c,4 hit 
S 153334,4 hit 
L 111220,4 miss eviction 
S 153338,4 hit 
L 111224,4 hit 
L 111228,4 hit 
L 11122c,4 hit 
L 111230,4 hit 
L 1115e4,4 miss eviction 
S 15333c,4 hit 
L 1115e8,4 hit 
S 153340,4 miss eviction 
L 1115ec,4 hit 
S 153344,4 hit 
L 1115f0,4 hit 
S 153348,4 hit 
S 15375c,4 miss eviction 
S 153760,4 miss eviction 
S 153764,4 hit 
S 153768,4 hit 
L 1115f4,4 hit 
S 15376c,4 hit 
L 1115f8,4 hit 
S 153770,4 hit 
L 1115fc,4 hit 
S 153774,4 hit 
L 111600,4 miss eviction 
S 153778,4 hit 
L 111308,4 miss eviction 
S 153438,4 miss eviction 
L 11130c,4 hit 
S 15343c,4 hit 
L 111310,4 hit 
S 153440,4 miss eviction 
L 111314,4 hit 
S 153444,4 hit 
L 111318,4 hit 
L 11131c,4 hit 
L 111320,4 miss eviction 
L 111324,4 hit 
L 1116d8,4 miss eviction 
